2014-11-07 17:40:09,212 | DEBUG | main                              | Created Data [emdNumber=6074560000208]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000004]
2014-11-07 17:40:09,212 | DEBUG | main                              | Created Data [emdNumber=6074560000209]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000531]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000105]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000532]
2014-11-07 17:40:09,212 | DEBUG | main                              | Created Data [emdNumber=6074560000210]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000005]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000006]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000007]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000008]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000009]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000211]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000533]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000106]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000534]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000212]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000010]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000213]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000535]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000107]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000536]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000214]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000011]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000215]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000537]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000108]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000538]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000216]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000012]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000217]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000539]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000109]
